field_id,date,recommendation,insight,risk_level,soil_status,pest_status
field_01,2025-05-15,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-05-16,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 10%,Активности вредителей не обнаружено.
field_01,2025-05-17,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 9%,Активности вредителей не обнаружено.
field_01,2025-05-18,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-05-19,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Хлебная блошка (тяжесть 4/10).
field_01,2025-05-20,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-05-21,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-05-22,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Хлебная блошка (тяжесть 3/10).
field_01,2025-05-23,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-05-24,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-05-25,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-05-26,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Хлебная блошка (тяжесть 3/10).
field_01,2025-05-27,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-05-28,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-05-29,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-05-30,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Септориоз (тяжесть 3/10).
field_01,2025-05-31,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-01,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-02,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-03,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-04,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 1/10).
field_01,2025-06-05,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-06,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-07,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-08,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-09,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-10,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Пшеничный трипс (тяжесть 5/10).
field_01,2025-06-11,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-12,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Пшеничный трипс (тяжесть 3/10).
field_01,2025-06-13,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 9%,Выявлен Пшеничный трипс (тяжесть 3/10).
field_01,2025-06-14,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Септориоз (тяжесть 2/10).
field_01,2025-06-15,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-16,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Пшеничный трипс (тяжесть 2/10).
field_01,2025-06-17,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-18,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-19,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Пшеничный трипс (тяжесть 4/10).
field_01,2025-06-20,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-21,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Септориоз (тяжесть 3/10).
field_01,2025-06-22,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-06-23,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 11%,Выявлен Пшеничный трипс (тяжесть 4/10).
field_01,2025-06-24,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-25,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-26,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Септориоз (тяжесть 2/10).
field_01,2025-06-27,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-06-28,Агроприемы влагосбережения,Сухая почва. Приостановите глубокое рыхление и механические обработки для удержания остаточной влаги.,warning,⚠️ Дефицит влаги (12%),Активности вредителей не обнаружено.
field_01,2025-06-29,Агроприемы влагосбережения,Сухая почва. Приостановите глубокое рыхление и механические обработки для удержания остаточной влаги.,warning,⚠️ Дефицит влаги (14%),Активности вредителей не обнаружено.
field_01,2025-06-30,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 10%,Активности вредителей не обнаружено.
field_01,2025-07-01,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-07-02,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-07-03,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-07-04,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 3/10).
field_01,2025-07-05,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-06,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-07,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Септориоз (тяжесть 2/10).
field_01,2025-07-08,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 4/10).
field_01,2025-07-09,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-10,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 3/10).
field_01,2025-07-11,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Септориоз (тяжесть 4/10).
field_01,2025-07-12,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-13,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-14,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-15,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-16,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-07-17,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 4/10).
field_01,2025-07-18,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 4/10).
field_01,2025-07-19,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-20,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 3/10).
field_01,2025-07-21,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Выявлен Серая зерновая совка (тяжесть 5/10).
field_01,2025-07-22,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-07-23,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-24,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-07-25,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-07-26,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Выявлен Серая зерновая совка (тяжесть 4/10).
field_01,2025-07-27,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-28,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-29,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-07-30,Агроприемы влагосбережения,Сухая почва. Приостановите глубокое рыхление и механические обработки для удержания остаточной влаги.,warning,⚠️ Дефицит влаги (13%),Активности вредителей не обнаружено.
field_01,2025-07-31,Плановый мониторинг,"Состояние посевов стабильное, продолжается плановый мониторинг вегетации пшеницы.",info,Влажность почвы оптимальная (19%).,Выявлен Бурая ржавчина (тяжесть 2/10).
field_01,2025-08-01,Плановый мониторинг,"Состояние посевов стабильное, продолжается плановый мониторинг вегетации пшеницы.",info,Влажность почвы оптимальная (17%).,Выявлен Септориоз (тяжесть 4/10).
field_01,2025-08-02,Агроприемы влагосбережения,Сухая почва. Приостановите глубокое рыхление и механические обработки для удержания остаточной влаги.,warning,⚠️ Дефицит влаги (13%),Активности вредителей не обнаружено.
field_01,2025-08-03,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 9%,Активности вредителей не обнаружено.
field_01,2025-08-04,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-08-05,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
field_01,2025-08-06,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 8%,Активности вредителей не обнаружено.
field_01,2025-08-07,Орошение / Антистрессанты 🚨,Влажность почвы упала до критического минимума (суховей). Рост пшеницы угнетен. Срочно применить полив или антистрессовые аминокислоты.,critical,🚨 Критическая засуха! Влажность 7%,Активности вредителей не обнаружено.
